"ImageNr" "n_org" "area_org" "radius_mean" "Replicate" "Organoid" "Treatment" "Medium"
"71" "XY20" 161 79442 9.75346600181325 "R6" "mCol APC" "10 DB" "ENR"
"72" "XY21" 195 77169 8.8396912539938 "R6" "mCol APC" "10 DB" "ENR"
"73" "XY01" 588 408815 13.3211802060905 "R8" "mCol WT" "DMSO" "WENR"
"74" "XY02" 569 450599 14.0819489878805 "R8" "mCol WT" "DMSO" "WENR"
"75" "XY03" 486 372734 13.7560645013246 "R8" "mCol WT" "DMSO" "WENR"
"76" "XY04" 448 267904 11.798188057675 "R8" "mCol WT" "10 DB" "WENR"
"77" "XY05" 387 261621 12.8952660449684 "R8" "mCol WT" "10 DB" "WENR"
"78" "XY06" 415 253497 12.3877322184101 "R8" "mCol WT" "10 DB" "WENR"
"79" "XY07" 95 117657 17.4817264923983 "R8" "mCol APC" "DMSO" "ENR"
"80" "XY08" 109 138290 17.2051498213314 "R8" "mCol APC" "DMSO" "ENR"
"81" "XY09" 88 82997 15.1675963688139 "R8" "mCol APC" "DMSO" "ENR"
"82" "XY10" 33 25265 13.2223202060877 "R8" "mCol APC" "10 DB" "ENR"
"83" "XY11" 86 64049 13.1286861755197 "R8" "mCol APC" "10 DB" "ENR"
"84" "XY12" 32 20727 12.9025422437207 "R8" "mCol APC" "10 DB" "ENR"
