"ImageNr" "n_org" "area_org" "radius_mean" "Replicate" "Organoid" "Treatment" "Medium"
"66" "XY12" 274 318283 16.5526171218609 "R4_rev" "mCol APC" "10 DB" "WENR"
"67" "XY13" 279 286513 16.0711934314629 "R4_rev" "mCol APC" "DMSO" "ENR"
"68" "XY14" 334 350773 15.9878425934391 "R4_rev" "mCol APC" "DMSO" "ENR"
"69" "XY15" 285 318760 16.7586081075836 "R4_rev" "mCol APC" "DMSO" "ENR"
"70" "XY16" 304 293128 15.1413428823052 "R4_rev" "mCol APC" "10 DB" "ENR"
"71" "XY17" 352 354655 15.3872279627986 "R4_rev" "mCol APC" "10 DB" "ENR"
"72" "XY18" 324 315641 15.154817246073 "R4_rev" "mCol APC" "10 DB" "ENR"
"73" "XY01" 313 331401 15.4029694668304 "R5_rev" "mCol WT" "DMSO" "WENR"
"74" "XY02" 170 307452 20.0362244644992 "R5_rev" "mCol WT" "DMSO" "WENR"
"75" "XY03" 131 249016 21.1562442408249 "R5_rev" "mCol WT" "DMSO" "WENR"
"76" "XY04" 169 92671 11.5819959035785 "R5_rev" "mCol WT" "10 DB" "WENR"
"77" "XY05" 63 39359 12.0954071235842 "R5_rev" "mCol WT" "10 DB" "WENR"
"78" "XY06" 165 83244 10.8264477854413 "R5_rev" "mCol WT" "10 DB" "WENR"
"79" "XY07" 195 257186 17.3611071054859 "R5_rev" "mCol APC" "DMSO" "WENR"
"80" "XY08" 169 183088 15.8636027015565 "R5_rev" "mCol APC" "DMSO" "WENR"
"81" "XY09" 161 138550 14.2922351525151 "R5_rev" "mCol APC" "DMSO" "WENR"
"82" "XY10" 86 38867 10.2508515653944 "R5_rev" "mCol APC" "10 DB" "WENR"
"83" "XY11" 93 61694 11.7241113279043 "R5_rev" "mCol APC" "10 DB" "WENR"
"84" "XY12" 46 26124 11.0864695725906 "R5_rev" "mCol APC" "10 DB" "WENR"
"85" "XY13" 101 81168 13.8137453015977 "R5_rev" "mCol APC" "DMSO" "ENR"
"86" "XY14" 134 123227 15.0806515018031 "R5_rev" "mCol APC" "DMSO" "ENR"
"87" "XY15" 69 82051 17.345867612799 "R5_rev" "mCol APC" "DMSO" "ENR"
"88" "XY16" 37 29251 12.5169572376707 "R5_rev" "mCol APC" "10 DB" "ENR"
"89" "XY17" 43 18089 10.2020415547924 "R5_rev" "mCol APC" "10 DB" "ENR"
"90" "XY18" 53 34072 11.5952321718075 "R5_rev" "mCol APC" "10 DB" "ENR"
