ImageNr;Organoid;Treatment;Medium
XY01;mCol WT;DMSO;WENR
XY03;mCol WT;10 DB;WENR
XY05;mCol WT;DMSO;WENR
XY07;mCol WT;10 DB;WENR
XY09;mCol WT;DMSO;WENR
XY11;mCol WT;10 DB;WENR
XY13;mCol APC;DMSO;ENR
XY15;mCol APC;10 DB;ENR
XY17;mCol APC;DMSO;ENR
XY19;mCol APC;10 DB;ENR
XY21;mCol APC;DMSO;ENR
XY23;mCol APC;10 DB;ENR
